p04477_f001,p04477_f002,p04477_f003,p04477_f004,p04477_f005,p04477_f006,p04477_f007,p04477_f008,p04477_f009,p04477_f010,p04477_f011,p04477_f012,p04477_f013,p04477_f014,p04477_f015,p04477_f016,p04477_f017,p04477_f018,p04477_f019,p04477_f020,p04477_f021,p04477_f022,p04477_f023
2695.HK,印象大红袍,2025/12/19,114610,109770,4840,0,12120.00000000000000000000,7315.00000000000000000000,4805.0000000000000000,0,3418.1577000000000000000000000000000000000000,1806.3497000000000000000000000000000000000000,1611.808000000000000000000000000000000000,0,36,33,3,0,3397.4800000000000000,0.80000000000000000000,非必需性消费,非日常生活消费品
2546.HK,智汇矿业,2025/12/18,177542,160873,16669,0,33713.00000000000000000000,6115.00000000000000000000,27598.0000000000000000,0,12569.4360000000000000000000000000000000000000,6338.5442000000000000000000000000000000000000,6230.8918000000000000000000000000000000000000,0,40,32,8,0,5248.1500000000000000,1.00000000000000000000,原材料业,原材料
3881.HK,希迪智驾,2025/12/18,17353,17277,76,0,76635.00000000000000000000,6115.00000000000000000000,70520.0000000000000000,0,12473.0120000000000000000000000000000000000000,12397.0120000000000000000000000000000000000000,76,0,6395,260,6135,0,22.5500000000000000,50.0000000000000000,工业,信息技术
3887.HK,HASHKEY HLDGS,2025/12/16,88592,84984,3608,0,180186.00000000000000000000,8365.00000000000000000000,171821.0000000000000000,0,29796.0625000000000000000000000000000000000000,26188.0625000000000000000000000000000000000000,3608,0,264,34,230,0,393.7100000000000000,10.0000000000000000,金融业,金融
2655.HK,果下科技,2025/12/15,161076,151327,9749,0,229842.00000000000000000000,18990.00000000000000000000,210852.0000000000000000,0,161076,151327,9749,0,72,30,42,0,1890.7300000000000000,10.0000000000000000,工业,工业
7618.HK,京东工业,2025/12/10,72234,71515,719,0,302817.00000000000000000000,5515.00000000000000000000,297302.0000000000000000,0,39170.5201000000000000000000000000000000000000,38451.5201000000000000000000000000000000000000,719,0,3154,56,3098,0,60.5200000000000000,35.0000000000000000,工业,工业
2659.HK,宝济药业-B,2025/12/09,282687,262059,20628,0,106571.00000000000000000000,25071.00000000000000000000,81500.0000000000000000,0,37883.6127000000000000000000000000000000000000,20650.0127000000000000000000000000000000000000,17233.6000000000000000000000000000000000000000,0,44,33,11,0,3526.3400000000000000,7.0000000000000000,医疗保健业,医疗保健
2676.HK,纳芯微,2025/12/05,21942,21743,199,0,38115.00000000000000000000,1615.00000000000000000000,36500.0000000000000000,0,4822.4407000000000000000000000000000000000000,4623.4407000000000000000000000000000000000000,199,0,1460,67,1393,0,25.3300000000000000,4.3200000000000000,资讯科技业,信息技术
2687.HK,卓越睿新,2025/12/05,135193,122759,12434,0,22648.00000000000000000000,3415.00000000000000000000,19233.0000000000000000,0,6665.9924000000000000000000000000000000000000,3859.8438000000000000000000000000000000000000,2806.1486000000000000000000000000000000000000,0,40,29,11,0,4813.4000000000000000,1.00000000000000000000,资讯科技业,信息技术
2408.HK,遇见小面,2025/12/04,61057,59309,1748,0,39991.00000000000000000000,6855.00000000000000000000,33136.0000000000000000,0,9591.8740000000000000000000000000000000000000,7843.8740000000000000000000000000000000000000,1748,0,89,37,52,0,425.9700000000000000,2.0000000000000000,非必需性消费,非日常生活消费品
2658.HK,天域半导体,2025/12/04,45511,45019,492,0,150325.00000000000000000000,8455.00000000000000000000,141870.0000000000000000,0,15388.6317000000000000000000000000000000000000,14896.6317000000000000000000000000000000000000,492,0,2016,110,1906,0,60.6300000000000000,10.0000000000000000,资讯科技业,信息技术
2539.HK,乐摩科技,2025/12/02,173139,159958,13181,0,21493.00000000000000000000,7315.00000000000000000000,14178.0000000000000000,0,5780.1745000000000000000000000000000000000000,2980.8191000000000000000000000000000000000000,2799.3554000000000000000000000000000000000000,0,40,33,7,0,7324.2900000000000000,0.80000000000000000000,非必需性消费,非日常生活消费品
2693.HK,金岩高岭新材,2025/12/02,171899,158143,13756,0,33770.00000000000000000000,10910.00000000000000000000,22860.0000000000000000,0,171899,158143,13756,0,39,33,6,0,6876.1700000000000000,0.03000000000000000000,原材料业,原材料
9609.HK,海伟股份,2025/11/27,165803,151135,14668,0,43723.00000000000000000000,5515.00000000000000000000,38208.0000000000000000,0,18306.1223000000000000000000000000000000000000,8972.5519000000000000000000000000000000000000,9333.5704000000000000000000000000000000000000,0,38,29,9,0,5426.2700000000000000,1.00000000000000000000,工业,信息技术
2685.HK,量化派,2025/11/26,159327,146963,12364,0,18380.00000000000000000000,13310.00000000000000000000,5070.0000000000000000,0,159327,146963,12364,0,40,38,2,0,9366.2800000000000000,0.60000000000000000000,非必需性消费,通讯业务
2788.HK,创新实业,2025/11/21,145228,132968,12260,0,210255.00000000000000000000,3255.00000000000000000000,207000.0000000000000000,0,51851.9357000000000000000000000000000000000000,39591.9357000000000000000000000000000000000000,12260,0,158,33,125,0,447.2000000000000000,10.0000000000000000,原材料业,原材料
