code,name,listing_date,record_date,margin_amount_hkd,public_offer_amount_hkd,margin_multiple,margin_over_text,currency,source_table
6657.HK,百望股份,2024-07-09,2024-07-04,127550000,37050000,4.1039,超购于2.4428倍,HKD,孖展数据
2545.HK,中赣通信,2024-07-03,2024-06-27,3191750000,20000000,206.1637,超购于158.5875倍,HKD,孖展数据
1354.HK,经发物业,2024-07-03,2024-06-27,549240000,15500000,44.7616,超购于34.432倍,HKD,孖展数据
8637.HK,元续科技,2024-07-02,2024-06-26,15680820000,8100000,2515.3748,超购于1934.9037倍,HKD,孖展数据
2479.HK,天聚地合,2024-06-28,2024-06-25,18997100000,40150000,613.7599,超购于472.123倍,HKD,孖展数据
2559.HK,嘀嗒出行,2024-06-28,2024-06-25,2502320000,27370000,117.5685,超购于90.4373倍,HKD,孖展数据
6181.HK,老铺黄金,2024-06-28,2024-06-25,34099930000,78780000,561.4008,超购于431.8467倍,HKD,孖展数据
2881.HK,武汉有机,2024-06-18,2024-06-13,3602190000,15560000,299.7509,超购于230.5776倍,HKD,孖展数据
2512.HK,云工场,2024-06-14,2024-06-11,1136800000,52900000,24.9973,超购于20.4896倍,HKD,孖展数据
2228.HK,晶泰控股,2024-06-13,2024-06-07,4296740000,56500000,97.5716,超购于75.0551倍,HKD,孖展数据
2522.HK,一脉阳光,2024-06-07,2024-06-04,4394970000,29940000,189.5456,超购于145.8043倍,HKD,孖展数据
2550.HK,宜搜科技,2024-06-07,2024-06-04,669950000,11840000,72.2503,超购于55.5771倍,HKD,孖展数据
8529.HK,优博控股,2024-06-03,2024-05-29,16979020000,7500000,2941.7301,超购于2262.8693倍,HKD,孖展数据
2443.HK,汽车街,2024-05-31,2024-05-28,5786340000,16800000,446.4525,超购于343.425倍,HKD,孖展数据
2505.HK,EDA集团控股,2024-05-28,2024-05-23,2406460000,29870000,103.417,超购于79.5515倍,HKD,孖展数据
0917.HK,趣致集团,2024-05-27,2024-05-22,672530000,58520000,12.8004,超购于10.4921倍,HKD,孖展数据
2898.HK,盛禾生物-B,2024-05-24,2024-05-21,351400000,46110000,9.6014,超购于6.6217倍,HKD,孖展数据
2529.HK,泓盈城市服务,2024-05-17,2024-05-13,618700000,14400000,54.5548,超购于41.9652倍,HKD,孖展数据
2556.HK,迈富时,2024-05-16,2024-05-10,101370000,26780000,4.6804,超购于2.7859倍,HKD,孖展数据
2438.HK,出门问问,2024-04-24,2024-04-19,3348020000,34670000,124.2252,超购于95.5579倍,HKD,孖展数据
2515.HK,天津建发,2024-04-23,2024-04-18,5609570000,15650000,464.7183,超购于357.4756倍,HKD,孖展数据
2555.HK,茶百道,2024-04-23,2024-04-18,85110000,258590000,,未足额,HKD,孖展数据
